,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,68.0,83,40,9.24,EC,1632191084
1,Yulara,-25.2406,130.9889,60.64,29,6,17.27,AU,1632191279
2,Chui,-33.6971,-53.4616,54.43,88,84,16.78,UY,1632191104
3,Bredasdorp,-34.5322,20.0403,45.72,87,15,2.3,ZA,1632191109
4,Turaif,31.6725,38.6637,68.25,42,0,8.05,SA,1632191613
5,Ushuaia,-54.8,-68.3,44.26,81,75,8.05,AR,1632191503
6,Tasiilaq,65.6145,-37.6368,37.56,78,97,8.28,GL,1632191614
7,Nikolayevsk-on-Amur,53.1406,140.73,58.21,37,0,8.21,RU,1632191614
8,Atuona,-9.8,-139.0333,77.9,72,0,20.15,PF,1632191615
9,Lata,40.1629,-8.3327,61.21,65,0,10.02,PT,1632191615
10,Hambantota,6.1241,81.1185,79.14,100,40,9.22,LK,1632191164
11,Jalu,29.0331,21.5482,81.27,27,0,6.93,LY,1632191616
12,Albany,42.6001,-73.9662,62.47,88,97,5.68,US,1632190956
13,Tigil',57.8,158.6667,51.87,74,100,12.28,RU,1632191591
14,Yellowknife,62.456,-114.3525,43.32,100,20,6.91,CA,1632191153
15,Hithadhoo,-0.6,73.0833,83.26,73,100,12.26,MV,1632191116
16,Airai,-8.9266,125.4092,75.78,31,53,5.73,TL,1632191137
17,Tazovsky,67.4667,78.7,32.38,81,53,14.0,RU,1632191534
18,Hermanus,-34.4187,19.2345,51.46,67,67,7.05,ZA,1632191111
19,Pec,42.6591,20.2883,53.89,91,98,2.39,XK,1632191618
20,Muhos,64.808,25.9931,33.58,96,35,4.74,FI,1632191619
21,Faanui,-16.4833,-151.75,79.02,70,5,11.48,PF,1632191109
22,Sola,-13.8833,167.55,78.06,74,100,18.48,VU,1632191256
23,Mount Gambier,-37.8333,140.7667,53.24,58,97,10.63,AU,1632190961
24,Upernavik,72.7868,-56.1549,24.49,82,84,4.41,GL,1632191121
25,Pevek,69.7008,170.3133,28.67,75,95,2.48,RU,1632190931
26,Ilulissat,69.2167,-51.1,28.42,74,75,21.85,GL,1632191214
27,Álamos,27.0167,-108.9333,76.71,88,99,2.39,MX,1632191621
28,Río Gallegos,-51.6226,-69.2181,53.65,50,0,10.36,AR,1632191622
29,Kahului,20.8947,-156.47,87.82,45,40,24.16,US,1632190872
30,Berlevåg,70.8578,29.0864,39.92,73,56,27.51,NO,1632191218
